"source_path","sha256","matched_path","size_bytes"
"imports/2026-07-06-desktop-bzh/BZH_CHRONICLES/936e4d421d5b4ac2abd2fa5408c0729c.png","C609566EAA794C7C41DC566D533DD4A3E9544A275C233F730B125A45569DCE5F","media/visual/references/import-wave2_unidentified-sticker_v01.png","414728"
"imports/2026-07-06-desktop-bzh/BZH_CHRONICLES/a_man_cosplayed_in_waluigi-7d5d17bc-94fc-4b9d-996e-f7e585c6bef4.webp","15290BADB107CD131206411E1CC4B0CF3B2E23AA6D2311936469FC37F9170281","media/visual/references/waluigi-cosplay_reference_v01.webp","34636"
"imports/2026-07-06-desktop-bzh/BZH_CHRONICLES/a_pirate_ship_sailling_a_dangerous_seas__the_boat_is_named__bzh_power___le_drapeau_est_vert-de4c3e8c-f5cd-4868-9cad-ef96fce79292.webp","C1CA196F5BB720427953318BC32017BB5A6E0514B79BA2DB961F8EFC60BA6F72","media/visual/wallpapers/bzhpower_pirate-ship_ocean_v01.webp","71962"
"imports/2026-07-06-desktop-bzh/BZH_CHRONICLES/ART/background_game.png","D8A45A407327FB52510BAD9EC020AA90ADCACD189013C2D1CD06B7CFB9BA5A85","media/visual/wallpapers/bzhchronicles_synthwave-city_background_v01.png","2665269"
"imports/2026-07-06-desktop-bzh/BZH_CHRONICLES/ART/ChatGPT Image 4 avr. 2025, 03_49_50.png","BB5DF9B802B6C0DFB2E24947C890E66382292B51F8CC22B3C83581E14F6E25FB","media/visual/covers/bzhchronicles_cd-mockup_v01.png","2430406"
"imports/2026-07-06-desktop-bzh/BZH_CHRONICLES/ART/ChatGPT Image 4 avr. 2025, 17_05_36.png","14112621CACF730FDF0E40B27B78269E25725019CBAE2556B29921619B41E2DB","media/visual/covers/bzhchronicles_poster_new-hero_v01.png","3396752"
"imports/2026-07-06-desktop-bzh/BZH_CHRONICLES/ART/ChatGPT Image 4 avr. 2025, 17_07_42.png","3498129EFB4D3A33D8FD2894F2D234A86516D9B285F2BDCF40808A0CCAF2F82D","media/visual/covers/bzhchronicles_poster_sunset-city_v01.png","2967869"
"imports/2026-07-06-desktop-bzh/BZH_CHRONICLES/ART/ChatGPT Image 4 avr. 2025, 17_10_07.png","E36BE86A4E4A585589091321042EDF5111DAFEE56BF64DCA958F36C7DE2859A3","media/visual/covers/bzhchronicles_poster_new-hero_v02.png","3477677"
"imports/2026-07-06-desktop-bzh/BZH_CHRONICLES/ART/ChatGPT Image 7 avr. 2025, 00_43_01.png","E907AB66B93E75FCC65F2813F053D49D3E67D2A96CBE1250E2190E20F013F8EB","media/visual/wallpapers/bzhpower_spaceship_blue_v01.png","1290831"
"imports/2026-07-06-desktop-bzh/BZH_CHRONICLES/ART/ChatGPT Image 7 avr. 2025, 19_50_17.png","8E148E8A6A42009CAC56E766611652267D306F1E5556F7AEAB7402D39646F2B4","media/visual/covers/bzhchronicles_mecha_bzh_v01.png","3815349"
"imports/2026-07-06-desktop-bzh/BZH_CHRONICLES/ART/ChatGPT Image 7 avr. 2025, 23_59_49.png","75FDA169EFD8CBC57D5400FE0B4E79878ED427A114D6201DC88DC414A878E97B","media/visual/references/bzhchronicles_dark-creature_reference_v01.png","1988325"
"imports/2026-07-06-desktop-bzh/BZH_CHRONICLES/ART/ChatGPT Image 8 avr. 2025, 00_00_51.png","E8ECFB71A8E00D087E647ECA04E8FA37B8AE0F69BCB1E1394CA2D2375BA49420","media/visual/wallpapers/bzhchronicles_team_portal_v01.png","3267631"
"imports/2026-07-06-desktop-bzh/BZH_CHRONICLES/ART/DALL·E 2025-04-04 05.31.22 - A manga-style illustration of MutenRock, the strategic mastermind of the BZH Power team. He stands confidently with elements of science and strategy a.webp","8D1372BC0DF58603BAB757F276A41C4384C56135B784683BDB410989EDD2297F","assets/characters/mutenrock/mutenrock_manga_science_v01.webp","435814"
