"source_path","destination_path","action","sha256","size_bytes"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_pw_album_cover\700c61e0dc0048e2a8f1958cca4a63e7.jpg","media\visual\covers\bzh-pw-album-cover\bzhpw_album_cover_v001.jpg","promoted","8277AEB417142F47EE7E4564E993CC4E267003D3F1C814F037C1AF6CA464A9CC","144344"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_pw_album_cover\DALL·E 2024-05-18 12.07.45 - An album cover with a futuristic, cybernetic theme. The background features a digital landscape with lines of code and integrated circuits. The colors.webp","media\visual\covers\bzh-pw-album-cover\bzhpw_album_cover_v002.webp","promoted","F354B07A048B3A0977763588B25DC550914E2EEF8EB3E48314410662DF378B10","474910"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_pw_album_cover\DALL·E 2024-05-21 15.11.08 - A 16_9 image to tease the single 'ALIGAX_ DIGITAL MAIDEN' from the album 'BZH Chronicles'. The background features a dynamic cyberpunk landscape with .webp","media\visual\covers\bzh-pw-album-cover\bzhpw_album_cover_v003.webp","promoted","22152F071CC013A9125A2F9FA8B1406FAE9BE77ACE5B753B5EB42E675556BF11","673146"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_pw_album_cover\DALL·E 2024-05-21 15.11.15 - A 16_9 image to tease the single 'MUTENROCK_ THE DIGITAL COMMANDER' from the album 'BZH Chronicles'. The background features a dynamic cyberpunk lands.webp","media\visual\covers\bzh-pw-album-cover\bzhpw_album_cover_v004.webp","promoted","DC3EAF29BDF020B351FF583A5B889F8FA261DC6E8183B3105C61B9DB0ED0F9BF","829416"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_pw_album_cover\DALL·E 2024-05-22 07.12.54 - A vibrant cyberpunk cityscape at night, filled with tall skyscrapers, neon lights, and numerous advertising billboards. Some of the billboards are com.webp","media\visual\covers\bzh-pw-album-cover\bzhpw_album_cover_v005.webp","promoted","6284B34937A7749B07FE924E4830E0CC2629C1D1CD5CEEB5E4EBCC509F3594C5","541834"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_pw_album_cover\DALL·E 2024-06-06 12.16.04 - A 16_9 banner image featuring the characters from BZH Power seen from behind, overlooking a vast cyberpunk battlefield. The characters Sniky, MutenRoc.webp","media\visual\covers\bzh-pw-album-cover\bzhpw_album_cover_v006.webp","promoted","117323C9ADEBD291FB0813ECECD8BACED727AA176D46B1FE60E3CEDB91EFC0A5","510970"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_pw_album_cover\DALL·E 2024-06-06 12.17.30 - A 16_9 banner image featuring the characters MutenRock (center), Sniky, and Aligax seen from behind, overlooking a vast cyberpunk battlefield. The sce.webp","media\visual\covers\bzh-pw-album-cover\bzhpw_album_cover_v007.webp","promoted","03F18D8FCCCD01AF2528D763562D990041A4C1C7208190E180C18D0ABE80E714","504134"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_pw_album_cover\DALL·E 2024-06-06 12.18.38 - A 16_9 banner image featuring the characters MutenRock (a man, center), Sniky (a man), and Aligax (a woman) seen from behind, overlooking a vast cyber.webp","media\visual\covers\bzh-pw-album-cover\bzhpw_album_cover_v008.webp","promoted","782B023B9F14407DE131327D119E66AFA91646033979A158AA3C50C061EFB417","396808"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_pw_album_cover\DALL·E 2024-07-01 04.09.22 - Cover art featuring the characters of the BZH Power team from the 'BZH Chronicles' album. The design showcases each character in their unique cyberpun.webp","media\visual\covers\bzh-pw-album-cover\bzhpw_album_cover_v009.webp","promoted","D0FB3F29392A08C2190109C419FB98B66664ECB3F109509B683849580F6BA916","546136"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_pw_rd_art\split\DALL·E 2024-05-22 01.01.42 - A single illustration of the character MutenRock divided into four parts, each part in a distinctly different hand-drawn style. The styles are_ gothic.webp","media\visual\references\bzh-pw-rd-art\split\bzhpw_rd_style-split_v001.webp","promoted","4BD4788AAEF8728FC09CCD510A674892D4C6C3E0A3B4B99D15EC2900809FF653","397314"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_pw_rd_art\split\DALL·E 2024-05-22 01.01.45 - A single illustration of the character MutenRock divided into four parts, each part in a distinctly different hand-drawn style. The styles are_ sepia .webp","media\visual\references\bzh-pw-rd-art\split\bzhpw_rd_style-split_v002.webp","promoted","E569FB598E12F7EC9971C9476EDBC4DF9FE085A027721F316E1CC7A930A1AC06","402714"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_pw_rd_art\split\DALL·E 2024-05-22 01.01.47 - A single illustration of the character MutenRock divided into four parts, each part in a distinctly different hand-drawn style. The styles are_ engrav.webp","media\visual\references\bzh-pw-rd-art\split\bzhpw_rd_style-split_v003.webp","promoted","BD28AE58E6045F14D29B9A79296A85592EA9C465AD810AFE8B8AF4C6A798E354","549316"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_pw_rd_art\split\DALL·E 2024-05-22 01.01.49 - A single illustration of the character MutenRock divided into four parts, each part in a distinctly different hand-drawn style. The styles are_ charco.webp","media\visual\references\bzh-pw-rd-art\split\bzhpw_rd_style-split_v004.webp","promoted","2C3C933E28FC18EB9E3140C2F1DD827EB1283EBC0036B88CE759E31D4031F5EE","432786"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_pw_rd_art\split\DALL·E 2024-05-22 01.01.51 - A single illustration of the character MutenRock divided into four parts, each part in a distinctly different hand-drawn style. The styles are_ digita.webp","media\visual\references\bzh-pw-rd-art\split\bzhpw_rd_style-split_v005.webp","promoted","0B50F5F9650DF733FA25717B9A06F3CA48A32E319A0D796EC8A1DB45689E9AC7","449556"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_pw_rd_art\split\DALL·E 2024-05-22 01.01.54 - A single illustration of the character MutenRock divided into four parts, each part in a distinctly different hand-drawn style. The styles are_ Japane.webp","media\visual\references\bzh-pw-rd-art\split\bzhpw_rd_style-split_v006.webp","promoted","4B1B3DBF7CB7064CF6E1CC348A7917B3CE8BA1E17AD882D9AED502426F7A35C6","446778"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\DALL·E 2024-05-27 23.41.04 - Create a simple black-and-white outline drawing suitable for a children's coloring book page. The character Aligax is depicted in a powerful stance, r.png","media\visual\references\coloring-pages\aligax_coloring_page_v001.png","promoted","B7316C7B33E27E25AB846958FCF15FD3B837AF30561A51506B9AEFF22C8E922C","940521"
