"source_path","destination_path","action","sha256","size_bytes"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\immmaaageg\d92f90b1f8054477ac6e6942ee246bbb.jpg","media\visual\references\immmaaageg\bzhpwimage_immmaaageg_v001.jpg","promoted","BFDF05C895C05824141F848554D25D120277D4866ADB648FCC9015EA749564AF","90295"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\immmaaageg\DALL·E 2024-08-20 21.03.06 - A 3D rendered, high-definition minimalist landscape image of a cyberpunk city bathed in sunlight. The city features futuristic skyscrapers and neon li.webp","media\visual\references\immmaaageg\bzhpwimage_immmaaageg_v002.webp","promoted","518929FC86AACEC625188E99D8054CE705EF5C1B3A8F3A89B83150FF8B48CEDE","436732"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\immmaaageg\DALL·E 2024-08-20 21.05.37 - A 3D rendered, high-definition minimalist landscape image of a cyberpunk city bathed in sunlight. The city features futuristic skyscrapers and neon li.webp","media\visual\references\immmaaageg\bzhpwimage_immmaaageg_v003.webp","promoted","015C259EB2F3CF66E99233A4D2149F2ABC5316FD57C1AEC7ABF971E4C23CC73B","469674"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\immmaaageg\DALL·E 2024-08-25 02.50.14 - A detailed landscape image showcasing an esports team uniform inspired by the BZH Power team, in a cyberpunk theme. The uniform features a black base .webp","media\visual\references\immmaaageg\bzhpwimage_immmaaageg_v004.webp","promoted","43A898D57A002137858D04273D439EFC0FF3CFB444D19BD9A066132EFCB0D7D3","633442"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\immmaaageg\DALL·E 2024-09-12 09.35.37 - A cyberpunk cityscape with a glowing sunset in the background, similar to the MutenRock image. The city is filled with futuristic skyscrapers with neo.webp","media\visual\references\immmaaageg\bzhpwimage_immmaaageg_v005.webp","promoted","36C68C0DE367CE310517C244D14C44EB41688563FE5FFE7EC0C44B635E01507A","661686"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\immmaaageg\DALL·E 2024-09-13 17.12.30 - A 1_1 image of a BZH CHRONICLES t-shirt on a white background. The t-shirt is black with a sleek, modern design, featuring the BZH CHRONICLES logo pro.webp","media\visual\references\immmaaageg\bzhpwimage_immmaaageg_v006.webp","promoted","F32A7CC5500D258B0234D00E73E943F9C01A3704BEC145A545AEA78E0BE8AAC7","209214"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\immmaaageg\DALL·E 2024-09-13 17.21.07 - The bold title 'BZH POWER' glowing in vibrant neon colors at the center, surrounded by a fusion of Celtic knotwork, futuristic cityscapes, and swirlin.webp","media\visual\references\immmaaageg\bzhpwimage_immmaaageg_v007.webp","promoted","B27CA13DFD078C81CBE6E3974B5135BFCEE018D7847E4473CDB74F13D7E6DF5B","761910"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\immmaaageg\DALL·E 2024-09-13 17.54.07 - 'BZH POWER' floating in the center of a vast, swirling galaxy. The letters glow with vibrant cosmic energy, surrounded by spirals of stars, distant pl.png","media\visual\references\immmaaageg\bzhpwimage_immmaaageg_v008.png","promoted","5CD8F7057E26B568002F795330BEAFFA03FAF0830A7CB1B16A23D78D531C0B9F","3601580"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\immmaaageg\DALL·E 2025-01-03 05.19.32 - A snowy cyberpunk city illuminated by glowing neon lights, with futuristic reindeer pulling a sleek, high-tech sleigh piloted by a shadowy figure rese.webp","media\visual\references\immmaaageg\bzhpwimage_immmaaageg_v009.webp","promoted","EA933AD7589086306FCB79861A15F154C440D20D1FDB89EEE8958D457EE58767","436524"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\immmaaageg\DALL·E 2025-01-03 21.52.44 - Wuxia scene featuring a character with blue hair and intricate armor, standing amidst a dramatic sunset. The background showcases mountains with mist .webp","media\visual\references\immmaaageg\bzhpwimage_immmaaageg_v010.webp","promoted","11A803AB14B0C2A214B630964FBC6EE52D446255E6D9F7238D0AEE0256C247E9","427212"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\immmaaageg\DALL·E 2025-01-03 21.52.47 - A fantasy scene depicting a mystical illumination. Aventus, a male genasi of the air with blue hair, and Ardamir, an elven mage with dark hair, are de.webp","media\visual\references\immmaaageg\bzhpwimage_immmaaageg_v011.webp","promoted","596BA221DA9BAF0AE6FCEED3DD4252363051A08E7488CC37DC7E87B8E1615963","628434"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\immmaaageg\DALL·E 2025-01-03 21.54.25 - A nature-themed warrior figure with modifications. The figure has vibrant green hair with yellow highlights, resembling sunlight filtering through lea.png","media\visual\references\immmaaageg\bzhpwimage_immmaaageg_v012.png","promoted","6066F4EB8823E2693FF06DC790A38748EEDC4CC5B2F6CD7D18103423EED4617E","1861600"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\immmaaageg\DALL·E 2025-01-03 21.56.23 - 'BZH POWER' in glowing, festive neon letters at the center of a futuristic Christmas scene. Sleighs pulled by cybernetic reindeer glide through a high.webp","media\visual\references\immmaaageg\bzhpwimage_immmaaageg_v013.webp","promoted","EBB952118F2AD4979C4D08B7C4EAEC5B51957536448AF7C69A828ED821010805","717842"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\immmaaageg\DALL·E 2025-01-03 21.57.28 - A mysterious 'temporal map' with a minimalist, aged look, drawn in a steampunk style on worn fabric. The map has faded outlines of continents, but als.webp","media\visual\references\immmaaageg\bzhpwimage_immmaaageg_v014.webp","promoted","4923B9D8778FE1BBA6460DB98AED68FC6513E7D24AFD76E3872E3F36ABE68866","877372"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\immmaaageg\DALL·E 2025-01-22 21.57.29 - A stickman-style illustration representing Sniky, a stealthy assassin in a cyberpunk universe, crouched and holding dual blades, with a shadowy aura a.webp","media\visual\references\immmaaageg\bzhpwimage_immmaaageg_v015.webp","promoted","EAEB796F3C87CB7D34D363A2E3F1D441551BF0D5122E57C1B3580A4194767F55","176730"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\immmaaageg\DALL·E 2025-01-22 21.58.32 - An ink drawing on aged parchment depicting MutenRock, a stickman-style cyberpunk strategist, holding a holographic chessboard. The art features a vint.webp","media\visual\references\immmaaageg\bzhpwimage_immmaaageg_v016.webp","promoted","41CE04EFBD81387067A1965F207CBF03465754D74537CC19FCD85A883E47F265","595396"
